file_name;position_name;company;job_information;salary_low;salary_high;currency;location;salary_avg;is_senior;is_lead;is_mid;is_junior
data enginer;Senior PHP Developer;emagine Sp. Z o.o.;backend;23520,00;26880,00;PLN;Zdalnie;25200,00;1;0;0;0
data enginer;Senior Fullstack Developer (Kotlin/Java + Angular);Euvic S.A.;fullstack;16800,00;25200,00;PLN;Zdalnie;21000,00;1;0;0;0
data enginer;Market Risk Senior Analyst;emagine Sp. Z o.o.;business-analyst;21840,00;25200,00;PLN;Zdalnie;23520,00;1;0;0;0
data enginer;Kierownik ZespoÅ‚u Call Center;JOBNONSTOP.PL;customer-service;8000,00;10000,00;PLN;Warszawa;9000,00;0;0;0;0
data enginer;Windows Platform Engineer;Motorola Solutions Systems Polska;sys-administrator;10000,00;17000,00;PLN;Kraków;13500,00;0;0;0;0
data enginer;UX Designer;Bamboo Health Sp. z o.o.;ux;13000,00;17200,00;PLN;Zdalnie;15100,00;0;0;0;0
data enginer;BPM Developer;emagine Sp. Z o.o.;business-analyst;21000,00;24360,00;PLN;Warszawa;22680,00;0;0;0;0
Programista Python;Senior Backend Developer (Python);CTHINGS.CO;Backend;22000,00;27000,00;PLN;Warszawa;24500,00;1;0;0;0
Programista Python;Senior Backend Developer (Python);Fintastic;Backend;27748,00;35676,00;PLN;Zdalnie;31712,00;1;0;0;0
Programista Python;Python Developer Tech Lead / Architect;cyber_Folks S.A.;Backend;19500,00;24500,00;PLN;Kraków;22000,00;0;1;0;0
Programista Python;Backend Python Developer;xBerry;Backend;20160,00;25200,00;PLN;Zdalnie;22680,00;0;0;0;0
Programista Python;Medior FullStack (Python) Developer;NIX Tech Kft.;Fullstack;9010,00;13515,00;PLN;Budapest;11262,50;0;0;0;0
Programista Python;Senior Python Developer;Lingaro;Backend;21000,00;26880,00;PLN;Zdalnie;23940,00;1;0;0;0
Programista Python;Backend / Python Developer (Junior);Parleto;Backend;5000,00;10000,00;PLN;Gdañsk;7500,00;0;0;0;1
Programista Python;Senior Backend Developer;Focal Systems;Backend;37000,00;70000,00;PLN;Zdalnie;53500,00;1;0;0;0
Programista Python;Senior Python Developer;Avenga;Backend;27720,00;29400,00;PLN;Zdalnie;28560,00;1;0;0;0
Programista Python;Full Stack Python Developer;Akademia GÃ³rniczo-Hutnicza im. StanisÅ‚awa Staszica w Krakowie;Fullstack;11000,00;15000,00;PLN;Kraków;13000,00;0;0;0;0
Programista Python;Remote Backend Python Django Developer;HRobots;Backend;10000,00;11400,00;PLN;Zdalnie;10700,00;0;0;0;0
Programista Python;Remote Python Developer;SQ3 Partners;Backend;17838,00;20613,00;PLN;Zdalnie;19225,50;0;0;0;0
Programista Python;Python Developer;Margo Consulting Polska;Backend;15000,00;20000,00;PLN;Zdalnie;17500,00;0;0;0;0
Programista Python;Python Developer;Respect Energy S.A.;Backend;18000,00;25000,00;PLN;Zdalnie;21500,00;0;0;0;0
Programista Python;Remote Python Senior developer;Meant4 Software;Backend;18000,00;25000,00;PLN;Zdalnie;21500,00;1;0;0;0
Programista Python;Python Backend Developer;ALM Services Technology Group;Backend;16000,00;28000,00;PLN;Zdalnie;22000,00;0;0;0;0
Programista Python;Mid (Python) Backend Developer (AI/Web3 startup);Codepole;Backend;15000,00;25000,00;PLN;Zdalnie;20000,00;0;0;1;0
Programista Python;Mid Backend Developer (Python);Quantee;Backend;18000,00;22000,00;PLN;Zdalnie;20000,00;0;0;1;0
Programista Python;Senior Backend Developer (Python);Quantee;Backend;25000,00;30000,00;PLN;Zdalnie;27500,00;1;0;0;0
Programista Python;Junior Python Developer (Backend);Elmark Automatyka S.A.;Backend;7000,00;10000,00;PLN;Warszawa;8500,00;0;0;0;1
Programista Python;BigData Developer;AVENGA;data;20160,00;23520,00;PLN;Zdalnie;21840,00;0;0;0;0
Programista Python;Data Developer;Unit Group;data;21802,00;29730,00;PLN;Zdalnie;25766,00;0;0;0;0
Programista Python;Python Developer - AI;Zone IT Sp. z o.o.;artificial-intelligence;17000,00;28000,00;PLN;Wroc³aw;22500,00;0;0;0;0
Programista Python;Big Data Developer;emagine Sp. Z o.o.;data;18480,00;23520,00;PLN;Warszawa;21000,00;0;0;0;0
Programista Python;3D Rigging Artist / Technical Developer;Codete;game-dev;26880,00;31080,00;PLN;Zdalnie;28980,00;0;0;0;0
Programista Python;Mid React Native Developer (Relocation to Prague);AllSTARSIT;artificial-intelligence;21586,00;24176,00;PLN;Prague;22881,00;0;0;1;0
